time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093894426530,887.518,-249.509,1192.24,286.66,-11.6886,44.4655
18093894650733,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093894868696,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093895085993,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093895303974,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093895521141,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093895739196,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093895956252,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093896207863,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093896426641,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093896644326,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093896861400,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093897078326,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093897294993,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093897513715,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093897731548,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093897948993,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093898206567,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093898424715,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093898642141,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093898859770,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093899076863,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093899294252,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093899510937,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093899728233,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093899945344,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093900198881,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093900416585,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093900634548,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093900851641,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093901068789,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093901285326,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093901501993,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093901724937,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093901943085,887.518,-249.509,1192.24,270.394,-4.02844,40.9864
18093902159511,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093902377141,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093902594289,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093902811863,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093903028678,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093903245752,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093903463067,872.87,-179.929,1118.26,270.394,-4.02844,40.9864
18093903680752,872.87,-179.929,1118.26,0,0,0
18093903896344,872.87,-179.929,1118.26,0,0,0
