Dictionary,Rotation Vector,Translation Vector
0,[[[ 0.4442215   2.79795573 -0.82271888]]],[[[-0.69659628 -0.2853448   1.53343593]]]
0,[[[ 0.47911903  2.73208224 -0.88326133]]],[[[-0.68239167 -0.28008207  1.50219425]]]
0,[[[-0.53739449 -3.15712656  1.00397749]]],[[[-0.69189593 -0.28286181  1.52007297]]]
0,[[[-0.54930347 -3.1636813   0.95181895]]],[[[-0.69789856 -0.28491947  1.53263973]]]
0,[[[ 0.47960135  2.7310034  -0.88288345]]],[[[-0.68493034 -0.27913944  1.50298597]]]
0,[[[ 0.46932201  2.75228066 -0.8767679 ]]],[[[-0.69329537 -0.2822075   1.51951785]]]
0,[[[-0.55005307 -3.16448284  0.95115363]]],[[[-0.70042409 -0.28504282  1.53330394]]]
0,[[[ 0.458765    2.77392598 -0.86747852]]],[[[-0.70363713 -0.28561818  1.53789654]]]
0,[[[ 0.45898728  2.77426022 -0.86818538]]],[[[-0.70380034 -0.28657321  1.53703561]]]
0,[[[-0.54045493 -3.16760379  1.03551214]]],[[[-0.69994045 -0.28517103  1.52802212]]]
0,[[[-0.55419115 -3.1839584   1.01783627]]],[[[-0.70810527 -0.28883692  1.54768319]]]
0,[[[ 0.44954819  2.72432599 -0.90562563]]],[[[-0.7078086  -0.28912271  1.55071953]]]
0,[[[ 0.46628156  2.76886972 -0.8459881 ]]],[[[-0.70851143 -0.29021095  1.556565  ]]]
0,[[[ 0.46605404  2.76913513 -0.84646058]]],[[[-0.70722852 -0.29014762  1.556225  ]]]
0,[[[-0.56563692 -3.14683575  1.00922738]]],[[[-0.69597163 -0.28559869  1.53329455]]]
0,[[[-0.53319151 -3.17232335  1.00198257]]],[[[-0.70812091 -0.29059453  1.56318623]]]
0,[[[ 0.47876052  2.7466367  -0.89606844]]],[[[-0.70392666 -0.28759211  1.55766085]]]
0,[[[ 0.48696816  2.73898151 -0.87471517]]],[[[-0.71119392 -0.28908648  1.57817227]]]
0,[[[-0.56182552 -3.16192118  1.01202858]]],[[[-0.71013898 -0.28626089  1.57837066]]]
0,[[[ 0.47568068  2.75991626 -0.8723869 ]]],[[[-0.71660447 -0.28655206  1.59594455]]]
0,[[[ 0.45764479  2.71385965 -0.9347253 ]]],[[[-0.71447507 -0.28305467  1.58929857]]]
0,[[[ 0.46512045  2.78086499 -0.86615703]]],[[[-0.72817307 -0.28543171  1.61582829]]]
0,[[[-0.50722896 -3.13285977  0.95927005]]],[[[-0.73959394 -0.28707928  1.63524119]]]
0,[[[-0.54390863 -3.11804023  1.00595152]]],[[[-0.73058226 -0.28074897  1.61080483]]]
0,[[[-0.57730153 -3.14574909  1.00508712]]],[[[-0.73346113 -0.27928686  1.61587171]]]
0,[[[ 0.49108628  2.72982384 -0.92271876]]],[[[-0.72678099 -0.27540583  1.60180513]]]
0,[[[-0.49050477 -3.13347462  0.97906961]]],[[[-0.75462089 -0.28575429  1.66379944]]]
0,[[[-0.53950612 -3.12424265  0.96837042]]],[[[-0.75040509 -0.28333184  1.653178  ]]]
0,[[[ 0.48052832  2.75183103 -0.91770641]]],[[[-0.73613175 -0.27743588  1.62046143]]]
0,[[[-0.59575959 -3.12780627  1.06586984]]],[[[-0.73549749 -0.27668383  1.61777902]]]
0,[[[ 0.48942774  2.74511299 -0.89310005]]],[[[-0.74685296 -0.28136067  1.64340591]]]
0,[[[-0.54114463 -3.13658288  1.00105247]]],[[[-0.75606033 -0.28554196  1.66431809]]]
0,[[[ 0.47243836  2.74261771 -0.90481295]]],[[[-0.75730396 -0.28662515  1.6724037 ]]]
0,[[[-0.55735506 -3.11597128  1.06465925]]],[[[-0.75031871 -0.28482188  1.66363095]]]
0,[[[-0.57532608 -3.12376188  1.08558343]]],[[[-0.73810694 -0.28001626  1.64250572]]]
0,[[[-0.52020694 -3.13193837  1.0236165 ]]],[[[-0.75780926 -0.28702735  1.68905734]]]
0,[[[ 0.49583051  2.77288203 -0.92266681]]],[[[-0.74065825 -0.28087581  1.65282865]]]
0,[[[-0.58847429 -3.13218048  1.03055293]]],[[[-0.74205327 -0.28223433  1.65729231]]]
0,[[[ 0.51023333  2.71640552 -0.92328104]]],[[[-0.74427249 -0.28323634  1.66495434]]]
0,[[[-0.56879924 -3.12181332  1.0117368 ]]],[[[-0.74889369 -0.28442448  1.67731087]]]
0,[[[-0.56879924 -3.12181332  1.0117368 ]]],[[[-0.74889369 -0.28442448  1.67731087]]]
0,[[[-0.55547512 -3.11389416  1.06781912]]],[[[-0.74358913 -0.28214352  1.66206784]]]
0,[[[ 0.4906811   2.74607768 -0.94081397]]],[[[-0.74617249 -0.28281196  1.66245461]]]
0,[[[ 0.49118423  2.7460443  -0.93928409]]],[[[-0.74885277 -0.28412003  1.66305392]]]
0,[[[ 0.5006105   2.74010942 -0.91171431]]],[[[-0.76100994 -0.29082926  1.68801307]]]
0,[[[-0.5701495  -3.1236809   1.00600332]]],[[[-0.75546461 -0.2906959   1.67840132]]]
0,[[[ 0.50008273  2.74224688 -0.91094304]]],[[[-0.75805004 -0.29430331  1.68687212]]]
0,[[[-0.55735126 -3.13108321  1.13175844]]],[[[-0.75436824 -0.29458576  1.67802203]]]
0,[[[ 0.48564136  2.72308881 -0.95512342]]],[[[-0.75078706 -0.29348985  1.67004685]]]
0,[[[-0.55686835 -3.12367459  1.09583964]]],[[[-0.7509362  -0.29294238  1.67037859]]]
0,[[[-0.54991195 -3.11144058  0.98623685]]],[[[-0.76218506 -0.29633053  1.6967365 ]]]
0,[[[ 0.48857683  2.76632286 -0.90651272]]],[[[-0.76541722 -0.29652194  1.70669683]]]
0,[[[ 0.4998123   2.74161313 -0.91422462]]],[[[-0.75564531 -0.29163644  1.6856002 ]]]
0,[[[-0.55033704 -3.11154615  0.98869088]]],[[[-0.76238351 -0.29271484  1.69717878]]]
0,[[[-0.57193768 -3.13362097  1.04320232]]],[[[-0.75977636 -0.29021337  1.68799109]]]
0,[[[-0.55833903 -3.12447832  1.09976223]]],[[[-0.75397763 -0.28712066  1.67175324]]]
0,[[[ 0.4916858   2.74601256 -0.93775625]]],[[[-0.75153501 -0.28542906  1.66365374]]]
0,[[[-0.55205165 -3.1131873   0.98828281]]],[[[-0.7680106  -0.29175176  1.69873984]]]
0,[[[-0.5716294  -3.12496936  1.00674689]]],[[[-0.75972906 -0.28849433  1.67975977]]]
