Gyro t,Gyro X, Gyro Y, Gyro Z,Accel t, Accel X, Accel Y, Accel Z 
17918216370275,0.0275277,0.214484,0.140996,17918216331831,0,0.687744,-2.75098
17918216453662,0.0275277,0.214484,0.140996,17918216415255,0,0.687744,-2.75098
17918216537087,0.0275277,0.214484,0.140996,17918216498643,0,0.687744,-2.75098
17918216620530,0.0275277,0.214484,0.140996,17918216582105,0,0.687744,-2.75098
17918216703899,0.0275277,0.214484,0.140996,17918216665474,0,0.687744,-2.75098
17918216787324,0.0275277,0.214484,0.140996,17918216748954,0,0.687744,-2.75098
17918216870748,0.0275277,0.214484,0.140996,17918216832379,0,0.687744,-2.75098
17918216954451,0.0275277,0.214484,0.140996,17918216915896,0,0.687744,-2.75098
17918217037857,0.0275277,0.214484,0.140996,17918216999394,0,0.687744,-2.75098
17918217121318,0.0275277,0.214484,0.140996,17918217082856,0,0.687744,-2.75098
17918217204651,0.0275277,0.214484,0.140996,17918217166281,0,0.687744,-2.75098
17918217288020,0.0275277,0.214484,0.140996,17918217249576,0,0.687744,-2.75098
17918217371611,0.0275277,0.214484,0.140996,17918217333111,0,0.687744,-2.75098
17918217455091,0.0275277,0.214484,0.140996,17918217416721,0,0.687744,-2.75098
17918217538608,0.0275277,0.214484,0.140996,17918217500257,0,0.687744,-2.75098
17918217622274,0.0275277,0.214484,0.140996,17918217583737,0,0.687744,-2.75098
17918217705828,0.0275277,0.214484,0.140996,17918217667384,0,0.687744,-2.75098
17918217789438,0.0275277,0.214484,0.140996,17918217751068,0,0.687744,-2.75098
17918217872881,0.0275277,0.214484,0.140996,17918217834456,0,0.687744,-2.75098
17918217956380,0.0275277,0.214484,0.140996,17918217917954,0,0.687744,-2.75098
17918218040008,0.0275277,0.214484,0.140996,17918218001508,0,0.687744,-2.75098
17918218123414,0.0275277,0.214484,0.140996,17918218085026,0,0.687744,-2.75098
17918218206765,0.0275277,0.214484,0.140996,17918218168302,0,0.687744,-2.75098
17918218290078,0.0275277,0.214484,0.140996,17918218251634,0,0.687744,-2.75098
17918218373466,0.0275277,0.214484,0.140996,17918218335077,0,0.687744,-2.75098
17918218456835,0.0275277,0.214484,0.140996,17918218418428,0,0.687744,-2.75098
17918218540352,0.0275277,0.214484,0.140996,17918218501908,0,0.687744,-2.75098
17918218623703,0.0275277,0.214484,0.140996,17918218585277,0,0.687744,-2.75098
17918218707220,0.0275277,0.214484,0.140996,17918218668794,0,0.687744,-2.75098
17918218790570,0.0275277,0.214484,0.140996,17918218752182,0,0.687744,-2.75098
17918218873995,0.0275277,0.214484,0.140996,17918218835551,0,0.687744,-2.75098
17918218957512,0.0275277,0.214484,0.140996,17918218918976,0,0.687744,-2.75098
17918219040844,0.0275277,0.214484,0.140996,17918219002437,0,0.687744,-2.75098
17918219124213,0.0275277,0.214484,0.140996,17918219085825,0,0.687744,-2.75098
17918219207619,0.0275277,0.214484,0.140996,17918219169213,0,0.687744,-2.75098
17918219291025,0.0275277,0.214484,0.140996,17918219252637,0,0.687744,-2.75098
17918219374506,0.0275277,0.214484,0.140996,17918219336136,0,0.687744,-2.75098
17918219457856,0.0275277,0.214484,0.140996,17918219419449,0,0.687744,-2.75098
17918219541336,0.0275277,0.214484,0.140996,17918219502855,0,0.687744,-2.75098
17918219624798,0.0275277,0.214484,0.140996,17918219586373,0,0.687744,-2.75098
17918219708167,0.0275277,0.214484,0.140996,17918219669723,0,0.687744,-2.75098
17918219791592,0.0275277,0.214484,0.140996,17918219753166,0,0.687744,-2.75098
17918219874942,0.0275277,0.214484,0.140996,17918219836517,0,0.687744,-2.75098
17918219958293,0.0275277,0.214484,0.140996,17918219919905,0,0.687744,-2.75098
17918220061551,0.0275277,0.214484,0.140996,17918220021533,0,0.687744,-2.75098
17918220158605,0.0275277,0.214484,0.140996,17918220120124,0,0.687744,-2.75098
17918220241807,0.0275277,0.214484,0.140996,17918220203474,0,0.687744,-2.75098
17918220325046,0.0275277,0.214484,0.140996,17918220286621,0,0.687744,-2.75098
17918220408378,0.0275277,0.214484,0.140996,17918220369972,0,0.687744,-2.75098
17918220491673,0.0275277,0.214484,0.140996,17918220453248,0,0.687744,-2.75098
