Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
52.848729435005225,0.5061636300000001,0.0071653299999999975,1.0720239500000002,0.4943121,0.019582361,1.0821455,0.54699403,-0.8245232,-0.14477237,-0.8357254,-0.5478812,-0.037272714,-0.048585843,0.1413779,-0.98876274,0.4064162,-0.6388636,-0.6532068,-0.6388636,-0.54037005,0.0049892464,-0.6532068,0.54758877,-0.7571631,0.53414,-0.83543,-0.12946,-0.81947,-0.54928,0.16359,-0.20777,0.01871,-0.978,0.4939501,0.0195994,1.0820308
52.86540908302413,0.50603609,0.007865979999999995,1.0718880100000001,0.4929105,0.018658688,1.0807424,0.4392836,-0.6007718,-0.66790956,-0.83912545,-0.53988516,-0.06627589,-0.3207778,0.58957386,-0.74128556,0.5410404,-0.8320643,-0.12224691,-0.8320643,-0.5485452,0.036691215,-0.12224691,0.082263306,-0.9918213,0.53335,-0.83591,-0.12956,-0.81964,-0.54856,0.16513,-0.20911,0.01812,-0.97772,0.49301082,0.018703677,1.0802374
52.88219272601418,0.50600424,0.008618719999999996,1.07144367,0.5067393,0.018719384,1.1094823,0.5309993,-0.8105457,-0.24709396,-0.8396321,-0.5426057,-0.024433345,-0.11427025,0.2204421,-0.9686834,0.44472715,-0.69035196,-0.5706417,-0.69035196,-0.5381637,-0.00578787,-0.5706417,0.48352253,-0.82117873,0.53332,-0.83564,-0.13145,-0.81962,-0.54891,0.16411,-0.20929,0.02022,-0.97765,0.5065422,0.018727528,1.1094823
52.89896517602028,0.50600906,0.009034529999999985,1.07113273,0.49096137,0.017288176,1.0747799,0.52034664,-0.84533197,-0.12105033,-0.8483525,-0.5279239,0.0399303,-0.09765972,0.08191575,-0.9918429,0.42478192,-0.60894185,-0.66988814,-0.60894185,-0.5196122,-0.06774046,-0.66988814,0.59932715,-0.73936534,0.53281,-0.83575,-0.13282,-0.81994,-0.54868,0.16327,-0.20932,0.02191,-0.9776,0.49062705,0.017231937,1.0747799
52.915878391999286,0.5060179600000001,0.009952319999999987,1.07039115,0.49428988,0.016916381,1.0820963,0.5475947,-0.82419264,-0.14438327,-0.8354162,-0.5482411,-0.03887771,-0.04711411,0.14190935,-0.9887578,0.40387604,-0.6406802,-0.6530031,-0.6406802,-0.5421016,0.012200981,-0.6530031,0.5437414,-0.7572569,0.53286,-0.83545,-0.13447,-0.81961,-0.54908,0.16354,-0.21047,0.02307,-0.97733,0.49403045,0.016942045,1.0822064
52.93259169399971,0.50609377,0.010903070000000015,1.06962769,0.49080575,0.0155086685,1.0723984,0.5270187,-0.84909844,-0.035820447,-0.8460637,-0.5281784,0.07213779,-0.08017167,-0.0077115847,-0.99675125,0.4143915,-0.54342175,-0.73004967,-0.54342175,-0.518546,-0.09627171,-0.73004967,0.6601537,-0.67657906,0.53258,-0.83525,-0.13681,-0.81966,-0.54928,0.16264,-0.21099,0.02551,-0.97715,0.49039578,0.015424298,1.0723984
52.949340022023534,0.50613638,0.011441110000000004,1.0692542,0.49321863,0.0150639275,1.0784473,0.4802148,-0.631948,-0.60830545,-0.83540624,-0.5409037,-0.097568505,-0.26737645,0.555036,-0.78768325,0.524891,-0.827536,-0.19918239,-0.827536,-0.5467316,0.07350806,-0.19918239,0.12754934,-0.9772016,0.53217,-0.83537,-0.13765,-0.81969,-0.54907,0.16318,-0.2119,0.02599,-0.97695,0.49338523,0.015150134,1.0782574
52.96613408901612,0.50635356,0.012568729999999972,1.06853537,0.4959736,0.014249191,1.0818901,0.5479266,-0.8241816,-0.1431823,-0.83525586,-0.5484508,-0.039361343,-0.046087548,0.14116096,-0.9889133,0.40097874,-0.6390286,-0.6563981,-0.6390286,-0.54297465,0.015712634,-0.6563981,0.5448128,-0.75425106,0.53152,-0.83588,-0.13705,-0.82002,-0.54833,0.16403,-0.21226,0.0252,-0.97689,0.49561113,0.014273848,1.0817811
52.982949193014065,0.50665556,0.013651299999999977,1.0678487200000002,0.49598768,0.013361232,1.0819207,0.54821426,-0.8240128,-0.14305262,-0.8351052,-0.5486226,-0.04015647,-0.045392457,0.14147833,-0.9889001,0.3998665,-0.6401256,-0.65600765,-0.6401256,-0.5438097,0.01924268,-0.65600765,0.542688,-0.7545089,0.53115,-0.83586,-0.13864,-0.82007,-0.5483,0.16386,-0.21298,0.02666,-0.97669,0.49572426,0.013391018,1.0820273
52.99974962201668,0.5068381099999999,0.014191939999999986,1.06752102,0.49270213,0.011991244,1.0726925,0.5270854,-0.8490346,-0.036348242,-0.8460311,-0.52829033,0.071698636,-0.08007705,-0.00703956,-0.9967638,0.4113279,-0.54340935,-0.73178935,-0.54340935,-0.5208782,-0.09032774,-0.73178935,0.65832525,-0.6755185,0.53094,-0.83584,-0.13956,-0.82016,-0.54827,0.16348,-0.21316,0.02766,-0.97663,0.49229145,0.011910565,1.0726925
